Taxon_Id,Species,?,Years (min),Years (max)
1008060,Calla palustris L.,1,1973,1973
1008080,Callistephus chinensis (L.) Nees,1,1998,1998
1008160,Calluna vulgaris (L.) Hull,1,1982,1998
1008180,Caltha palustris L.,14,1973,2019
1008200,Calystegia sepium (L.) R. Br.,51,1982,2022
1008210,Calystegia silvatica (Kit.) Griseb.,27,1998,2021
1008220,Camelina alyssum (Mill.) Thell.,4,1933,1966
1008230,Camelina microcarpa DC.,5,1950,1983
1008250,Camelina sativa (L.) Crantz,7,1950,2020
1008280,Campanula alliariifolia Willd.,4,1998,2020
1008360,Campanula carpatica Jacq.,6,1998,1998
1008380,Campanula cervicaria L.,1,2018,2018
1008390,Campanula cochleariifolia Lam.,5,1950,1998
1008430,Campanula garganica Ten.,9,1998,1998
1008440,Campanula glomerata L.,12,1950,2022
1008450,Campanula glomerata L. subsp. glomerata,8,1950,2016
1008490,Campanula latifolia L.,1,1876,1876
1008500,Campanula medium L.,1,1892,1892
1008510,Campanula patula L.,3,1950,2015
1008520,Campanula patula L. subsp. patula,3,1950,2015
1008550,Campanula persicifolia L.,28,1998,2021
1008560,Campanula portenschlagiana Schult.,7,1998,2022
1008570,Campanula poscharskyana Degen,34,1998,2022
1008610,Campanula rapunculoides L.,28,1982,2022
1008620,Campanula rapunculus L.,13,1950,2015
1008640,Campanula rotundifolia L.,16,1950,2015
1008690,Campanula trachelium L.,27,1965,2022
1008700,Cannabis sativa L.,6,1982,2021
1008720,Capsella bursa-pastoris (L.) Medik.,40,1982,2022
1008730,Capsella grandiflora (Fauché & Chaub.) Boiss.,1,2021,2021
1008740,Capsella rubella Reut.,21,1998,2019
1008760,Capsicum annuum L.,1,2021,2021
1008790,Cardamine amara L.,18,1950,2021
1008800,Cardamine amara L. subsp. amara,1,1972,1972
1008830,Cardamine bulbifera (L.) Crantz,13,1982,2021
1008835,Cardamine corymbosa Hook. f.,2,2022,2022
1008870,Cardamine flexuosa With.,4,2017,2022
