City,Family,Genus,Sp2,Sp.merge,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil
Zu,Araceae,Lysichiton,camtschatcensis,Lysichiton camtschatcensis,E,biotic,1,4,herb,0.76,1,NA,,0,0,0
Zu,Primulaceae,Lysimachia,atropurpurea,Lysimachia atropurpurea,N,biotic,4,5,herb,0.38,1,dish_bowl,actinomorph,0,1,1
Pa,Primulaceae,Lysimachia,ciliata,Lysimachia ciliata,E,biotic,3,6,herb,1.2,1,dish_bowl,actinomorph,0,1,1
Zu,Primulaceae,Lysimachia,clethroides,Lysimachia clethroides,E,biotic,3,7,herb,0.9,1,dish_bowl,actinomorph,0,1,1
Pa,Primulaceae,Lysimachia,deltoidea,Lysimachia deltoidea,E,biotic,3,6,herb,1,1,dish_bowl,actinomorph,0,1,1
Zu,Primulaceae,Lysimachia,ephemerum,Lysimachia ephemerum,N,biotic,4,6,herb,1,1,dish_bowl,actinomorph,0,1,1
Zu,Primulaceae,Lysimachia,nemorum,Lysimachia nemorum,N,biotic,4,5,herb,0.5,1,dish_bowl,actinomorph,0,1,1
Zu,Primulaceae,Lysimachia,nummularia,Lysimachia nummularia,N,biotic,2,6,herb,0.05,1,dish_bowl,actinomorph,0,1,1
Zu,Primulaceae,Lysimachia,punctata,Lysimachia punctata,N,biotic,2,6,herb,0.8,1,dish_bowl,actinomorph,0,1,1
Zu,Primulaceae,Lysimachia,thyrsiflora,Lysimachia thyrsiflora,E,biotic,3,5,herb,0.8,1,dish_bowl,actinomorph,0,1,1
Zu,Primulaceae,Lysimachia,vulgaris,Lysimachia vulgaris,E,biotic,3,6,herb,1,1,dish_bowl,actinomorph,0,1,1
Pa,Lythraceae,Lythrum,hyssopifolia,Lythrum hyssopifolia,N,biotic,3,7,herb,0.35,1,stalk_disk,actinomorph,1,1,0
Zu,Lythraceae,Lythrum,salicaria,Lythrum salicaria,N,biotic,2,7,herb,1.2,1,stalk_disk,actinomorph,1,1,0
Pa,Asteraceae,Madia,elegans,Madia elegans,E,biotic,2,7,herb,1.37,1,dish_bowl,actinomorph,NA,NA,NA
Zu,Magnoliaceae,Magnolia,kobus,Magnolia kobus,E,biotic,2,4,tree,10,1,dish_bowl,actinomorph,0,1,0
Zu,Magnoliaceae,Magnolia,obovata,Magnolia obovata,E,biotic,2,4,tree,10,1,dish_bowl,actinomorph,0,1,0
Zu,Magnoliaceae,Magnolia,x soulangeana,Magnolia x soulangeana,E,biotic,2,4,tree,6.8,1,dish_bowl,actinomorph,0,1,0
Zu,Berberidaceae,Mahonia,aquifolium,Mahonia aquifolium,E,biotic,2,4,shrub,2,1,dish_bowl,actinomorph,1,1,0
Pa,Aizoaceae,Malephora,crocea,Malephora crocea,E,biotic,NA,NA,shrub,0.18,0,dish_bowl,actinomorph,NA,NA,NA
Pa,Euphorbiaceae,Mallotus,apelta,Mallotus apelta,E,biotic,NA,NA,shrub,0.1,1,brush,no_symmetry,1,1,0
Zurich,Rosaceae,Malus,baccata,Malus baccata,E,biotic,2,4,tree,10.7,1,dish_bowl,actinomorph,1,1,0
Zu,Rosaceae,Malus,domestica,Malus domestica,N,biotic,2,4,tree,9,1,dish_bowl,actinomorph,1,1,0
Zu,Rosaceae,Malus,floribunda,Malus floribunda,N,biotic,2,4,tree,5.33,1,dish_bowl,actinomorph,1,1,0
Zu,Rosaceae,Malus,sp.,Malus sp.,NA,biotic,NA,NA,shrub/tree,NA,NA,dish_bowl,actinomorph,1,1,0
Pa,Rosaceae,Malus,sylvestris,Malus sylvestris,E,biotic,1,5,shrub/tree,10,1,dish_bowl,actinomorph,1,1,0
Zu,Rosaceae,Malus,x moerlandsii,Malus x moerlandsii,E,biotic,2,4,shrub/tree,6.86,1,dish_bowl,actinomorph,1,1,0
Zu,Malvaceae,Malva,alcea,Malva alcea,N,biotic,3,7,herb,1.25,1,bell_trumpet,actinomorph,1,1,0
Zu,Malvaceae,Malva,cretica,Malva cretica,N,biotic,4,6,herb,,1,bell_trumpet,actinomorph,1,1,0
Zu,Malvaceae,Malva,moschata,Malva moschata,N,biotic,4,6,herb,1,1,bell_trumpet,actinomorph,1,1,0
Po,Malvaceae,Malva,neglecta,Malva neglecta,N,biotic,4,6,herb,0.6,1,bell_trumpet,actinomorph,1,1,0
Pa,Malvaceae,Malva,stipulacea,Malva stipulacea,N,biotic,4,6,herb,,1,bell_trumpet,actinomorph,1,1,0
Zu,Malvaceae,Malva,sylvestris,Malva sylvestris,N,biotic,4,6,herb,1.5,1,bell_trumpet,actinomorph,1,1,0
Zu,Malvaceae,Malva,verticillata,Malva verticillata,E,biotic,3,7,herb,1.8,1,bell_trumpet,actinomorph,1,1,0
Zu,Apocynaceae,Mandevilla,sp.,Mandevilla sp.,NA,biotic,NA,NA,herb,NA,NA,NA,,NA,NA,NA
Pa,Asteraceae,Mantisalca,salmantica,Mantisalca salmantica,E,biotic,3,6,herb,0.4,1,dish_bowl,actinomorph,1,1,0
Zu,Lamiaceae,Marrubium,vulgare,Marrubium vulgare,N,biotic,3,6,herb,0.55,1,gullet,sigomorph,1,1,0
Zu,Asteraceae,Matricaria,chamomilla,Matricaria chamomilla,N,biotic,5,5,herb,0.4,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Matricaria,discoidea,Matricaria discoidea,N,biotic,5,5,herb,0.15,1,brush,no_symmetry,1,1,0
Zu,Brassicaceae,Matthiola,incana,Matthiola incana,E,biotic,6,5,herb,0.8,1,dish_bowl,actinomorph,1,1,0
Pa,Brassicaceae,Matthiola,sinuata,Matthiola sinuata,N,biotic,6,5,herb,0.6,1,dish_bowl,actinomorph,1,1,0
