ID,location,landscape,replicate,bbspecies,bborgan,site,Shannon,NrSpecies,Flowering_duration_cwm,Flowering_start_cwm,growth_form_cwm,structural_blossom_cwm,sugar_concentration_cwm,plant_height_cwm
14_BSRE_lB,BS,R,E,B.pascuorum,B,BS_R,1.0907966336800778,5,3.8120268290802555,5.558908333975792,1,1.5333744506977098,39.34323120906185,0.5103723691311386
14_BSRE_pB,BS,R,E,B.lapidarius,B,BS_R,0,1,6,5,1,1,45.81712329,1
14_BSRF_lB,BS,R,F,B.pascuorum,B,BS_R,0.14243368482527888,3,4.946074414030487,5.011555482707752,1,1,44.30178855079346,0.1659850844123914
14_BSRF_lL,BS,R,F,B.pascuorum,L,BS_R,0.402203179824956,3,5.099297834991223,5,1,1,44.709598930551785,0.2344031597425395
14_BSRF_pB,BS,R,F,B.lapidarius,B,BS_R,1.2325481353861474,5,4.705767683090405,5.34595367969239,1.0997227935258875,1.2462308861665026,43.077153605935756,0.7414611463829027
14_BSRF_pL,BS,R,F,B.lapidarius,L,BS_R,0.5206404282792592,2,4.43020705918653,5.784896470406735,1,1.784896470406735,46.32694759633806,0.6075517647966324
14_BSUA_lB,BS,U,A,B.pascuorum,B,BS_U,0.5986288422862979,4,5.645616264294791,5.132111090942096,1,1.067925213287348,45.830138776673586,0.956795244145943
14_BSUA_pB,BS,U,A,B.lapidarius,B,BS_U,0.3431718381204796,4,4.942845620261333,5.04905629940313,1,1.0490562994031296,44.47618017083094,0.18406759154702373
14_BSUB_lB,BS,U,B,B.pascuorum,B,BS_U,1.8277628234949208,9,3.9725117146484044,5.320738453823128,1,1.5432619222993622,50.061967274782866,0.6848845774107102
14_BSUB_pB,BS,U,B,B.lapidarius,B,BS_U,0.38662525445259427,4,4.0851401230348605,5,1,5.558304853041695,39.979815339322194,1.427552973342447
14_BSUB_pL,BS,U,B,B.lapidarius,L,BS_U,0.3647224924099185,4,4.087906772207564,5,1,5.592128408091469,40.995554535137465,1.43221635883905
14_BSUC_lB,BS,U,C,B.pascuorum,B,BS_U,0.3932275049957454,4,4.88780547112462,5.0634650455927055,1,1.0933009118541035,46.89268323487149,0.19322188449848024
14_BSUC_pB,BS,U,C,B.lapidarius,B,BS_U,1.5457187555668712,9,3.9392063997452844,5.324225901456658,1.206578842633129,1.6267412242298813,32.16221525331429,1.0327290456101246
14_ZHRD_lB,ZH,R,D,B.pascuorum,B,ZH_R,0,1,3,6,1,1,NA,0.11
14_ZHRD_pB,ZH,R,D,B.lapidarius,B,ZH_R,1.3236146914408233,6,5.252754559270517,5,1,3.919984802431609,41.741938558553464,1.0801795212765957
14_ZHRD_pL,ZH,R,D,B.lapidarius,L,ZH_R,0.5291562380169443,3,5.477811412450322,5,1,2.0620662671691257,38.24849028666262,0.9114824653528555
14_ZHRE_lB,ZH,R,E,B.pascuorum,B,ZH_R,0.3200414370182266,4,3.117202833560798,5.058841879508677,1,1.083551049587314,28.16869361473907,0.44221355689868075
14_ZHRE_lL,ZH,R,E,B.pascuorum,L,ZH_R,0.3026551983764929,4,3.09085895353268,5.065088342057236,1,1.0908589535326796,28.031369714027836,0.4314341295148707
14_ZHRE_pB,ZH,R,E,B.lapidarius,B,ZH_R,0,1,6.000000000000001,5,1,1,45.81712329,1
