plant species;plant family;plant genus;additional information;community studied;literature source 1;link 1;literature source 2;link 2;literature source 3;link 3;reference;class;subclass;order;alliance;suballiance;community;continent/region;country;location name;decimal longitude;absolute latitude;decimal latitude;altitude [meters above sea level];year of the  data collection;mean yearly air temperature in degrees Celsius;January - mean monthly temp. [degrees Celsius];February - mean monthly temp. [degrees Celsius];March - mean monthly temp. [degrees Celsius];April - mean monthly temp. [degrees Celsius];May - mean monthly temp. [degrees Celsius];June - mean monthly temp. [degrees Celsius];July - mean monthly temp. [degrees Celsius];August - mean monthly temp. [degrees Celsius];September - mean monthly temp. [degrees Celsius];October - mean monthly temp. [degrees Celsius];November - mean monthly temp. [degrees Celsius];December - mean monthly temp. [degrees Celsius];total yearly  pecipitation in mm;January - total precipitation;February - total precipitation;March - total precipitation;April - total precipitation;May - total precipitation;June - total precipitation;July - total precipitation;August - total precipitation;September - total precipitation;October - total precipitation;November - total precipitation;December - total precipitation;flowering start;flowering end;flowering peak;flowering peak 2 (if occured);flowering lenght;total number of plants per m^2;total number of trees examined;total number of flowers per m^2;total number of inflorescenses per m^2;total number of flowers per m^2 of crown surface;total number of inflorescenses per m^2 of crown surface;total number of flowers per a single tree;total number of flowers per plant;total number of inflorescenses per a single tree;total number of inflorescenses per plant;tree age;mean number of flowering flowers per m^2 per day;peak number of flowering flowers per m^2;flower longevity [days];total nectar in µg per flower;total nectar in µL per flower;nectar in µg/flower/day ;nectar in µL/flower/day ;nectar in µg/inflorescence/day ;sugar concentration % in nectar;total sugar in µg per flower;sugar in µg/flower/day;total sugar in mg per inflorescence;sugar in µg/inflorescence/day;sugar yield in kg/ha per 1 year;sugar yield in g per tree per 1 year;sugar yield in g per 1 m^3 of the tree crown;honey yield in kg/ha per 1 year;honey yield from 1 flower in mg per 1 year;honey yield in g per 1 m^3 of the tree crown;honey yield in kg/tree per 1 year;total pollen yield per 1 year in kg/ha;total pollen yield per 1 year in kg per a single tree;total pollen yield per 1 year in number of grains per a single tree;total pollen in µg/flower;total pollen in µL/flower;total pollen per flower (the number of grains);total pollen in µg/inflorescence;total pollen in µL/inflorescence;total pollen in µg/plant/year;total pollen in number of grains per inflorescence;pollen in µg/flower/day ;pollen in µL/flower/day ;pollen in µL/inflorescence/day ;yearly pollen yield in number of grains per m^2 of the  crown;yearly pollen yield in g per 1 m^3 of the tree crown
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Brzeziecki 2008;https://rcin.org.pl/Content/120332/KR038_94738_r2008-t54-2_SN-Brzeziecki-9-22.pdf;;;;;"Brzeziecki, B. Long-term dynamics ofnatural tree stands on the example oftwo forest communities
ofthe Bia³owie¿a National Park: Pino-Quercetum and Tilio-Carpinetum. Studia Naturae (2008) 54, cz. II: 9-22";Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.85;52.70;52.70;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Brzeziecki 2008;https://rcin.org.pl/Content/120332/KR038_94738_r2008-t54-2_SN-Brzeziecki-9-22.pdf;;;;;"Brzeziecki, B. Long-term dynamics ofnatural tree stands on the example oftwo forest communities
ofthe Bia³owie¿a National Park: Pino-Quercetum and Tilio-Carpinetum. Studia Naturae (2008) 54, cz. II: 9-22";Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.85;52.70;52.70;;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki 2008;https://rcin.org.pl/Content/120332/KR038_94738_r2008-t54-2_SN-Brzeziecki-9-22.pdf;;;;;"Brzeziecki, B. Long-term dynamics ofnatural tree stands on the example oftwo forest communities
ofthe Bia³owie¿a National Park: Pino-Quercetum and Tilio-Carpinetum. Studia Naturae (2008) 54, cz. II: 9-22";;;;;;;Europe;Poland;Bia³owie¿a Forest;23.85;52.70;52.70;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki 2008;https://rcin.org.pl/Content/120332/KR038_94738_r2008-t54-2_SN-Brzeziecki-9-22.pdf;;;;;"Brzeziecki, B. Long-term dynamics ofnatural tree stands on the example oftwo forest communities
ofthe Bia³owie¿a National Park: Pino-Quercetum and Tilio-Carpinetum. Studia Naturae (2008) 54, cz. II: 9-22";;;;;;;Europe;Poland;Bia³owie¿a Forest;23.85;52.70;52.70;;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Brzeziecki 2008;https://rcin.org.pl/Content/120332/KR038_94738_r2008-t54-2_SN-Brzeziecki-9-22.pdf;;;;;"Brzeziecki, B. Long-term dynamics ofnatural tree stands on the example oftwo forest communities
ofthe Bia³owie¿a National Park: Pino-Quercetum and Tilio-Carpinetum. Studia Naturae (2008) 54, cz. II: 9-22";Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.85;52.70;52.70;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (deciduous forest);Brzeziecki 2008;https://rcin.org.pl/Content/120332/KR038_94738_r2008-t54-2_SN-Brzeziecki-9-22.pdf;;;;;"Brzeziecki, B. Long-term dynamics ofnatural tree stands on the example oftwo forest communities
ofthe Bia³owie¿a National Park: Pino-Quercetum and Tilio-Carpinetum. Studia Naturae (2008) 54, cz. II: 9-22";Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.85;52.70;52.70;;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Kaliszki;20.75;52.36;52.36;;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Kaliszki;20.75;52.36;52.36;;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Kaliszki;20.75;52.36;52.36;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Sieraków;20.81;52.31;52.31;;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Sieraków;20.81;52.31;52.31;;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Sieraków;20.81;52.31;52.31;;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Sieraków;20.81;52.31;52.31;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (forest);£ukaszewicz et al. 2020;https://doi.org/10.26202/sylwan.2020061;;;;;£ukaszewicz J, Zaj¹czkowski G, Gil W, et al. 2020. Zmiany sk³adu gatunkowego i struktury drzewostanów w Roztoczañskim Parku Narodowym w okresie 2007?2017 [Changes in the species composition and structure of forest stands in the Roztocze National Park in the years 2007?2017]. Sylwan 164: 683–94.;;;;;;;Europe;Poland;Roztocze National Park / active protection zone;23.02;50.60;50.60;;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (forest);£ukaszewicz et al. 2020;https://doi.org/10.26202/sylwan.2020061;;;;;£ukaszewicz J, Zaj¹czkowski G, Gil W, et al. 2020. Zmiany sk³adu gatunkowego i struktury drzewostanów w Roztoczañskim Parku Narodowym w okresie 2007?2017 [Changes in the species composition and structure of forest stands in the Roztocze National Park in the years 2007?2017]. Sylwan 164: 683–94.;;;;;;;Europe;Poland;Roztocze National Park / active protection zone;23.02;50.60;50.60;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
