"","ID","Shannon","NrSpecies","location","landscape","replicate","bbspecies","bborgan","site"
"928","22_ZHUB_lB",0.808507267780628,4,"ZH","U","B","B.pascuorum","B","ZH_U"
"929","22_ZHUB_lL",0.1019193501131,2,"ZH","U","B","B.pascuorum","L","ZH_U"
"930","22_ZHUB_pB",1.78741676298009,10,"ZH","U","B","B.lapidarius","B","ZH_U"
"931","22_ZHUC_lB",0.67643217798006,3,"ZH","U","C","B.pascuorum","B","ZH_U"
"932","22_ZHUC_pB",1.15740790221261,5,"ZH","U","C","B.lapidarius","B","ZH_U"
"933","23_BERD_pB",0.0610548258066491,2,"BE","R","D","B.lapidarius","B","BE_R"
"934","23_BEUA_pB",0.847845114268523,3,"BE","U","A","B.lapidarius","B","BE_U"
"935","23_BEUB_pB",1.12113610987576,9,"BE","U","B","B.lapidarius","B","BE_U"
"936","23_BSRD_lB",0,1,"BS","R","D","B.pascuorum","B","BS_R"
"937","23_BSRD_lL",0,1,"BS","R","D","B.pascuorum","L","BS_R"
"938","23_BSRD_pB",0,1,"BS","R","D","B.lapidarius","B","BS_R"
"939","23_BSRD_pL",0,1,"BS","R","D","B.lapidarius","L","BS_R"
"940","23_BSRE_lB",0.200189313573428,2,"BS","R","E","B.pascuorum","B","BS_R"
"941","23_BSRE_pB",0.120912736378636,3,"BS","R","E","B.lapidarius","B","BS_R"
"942","23_BSRE_pL",0,1,"BS","R","E","B.lapidarius","L","BS_R"
"943","23_BSRF_lB",0,1,"BS","R","F","B.pascuorum","B","BS_R"
"944","23_BSRF_lL",0.170849222081973,3,"BS","R","F","B.pascuorum","L","BS_R"
"945","23_BSRF_pB",1.012227092426,4,"BS","R","F","B.lapidarius","B","BS_R"
"946","23_BSUA_lB",1.35073913778757,7,"BS","U","A","B.pascuorum","B","BS_U"
"947","23_BSUA_pB",0.730960382102571,4,"BS","U","A","B.lapidarius","B","BS_U"
"948","23_BSUB_lB",1.69372063960413,10,"BS","U","B","B.pascuorum","B","BS_U"
"949","23_BSUB_pB",0.0678299612641622,2,"BS","U","B","B.lapidarius","B","BS_U"
"950","23_BSUC_lB",1.6655955556749,10,"BS","U","C","B.pascuorum","B","BS_U"
"951","23_BSUC_pB",0.755761922517278,6,"BS","U","C","B.lapidarius","B","BS_U"
"952","23_BSUC_pL",0.679242137051682,4,"BS","U","C","B.lapidarius","L","BS_U"
"953","23_ZHRD_lB",1.46442823280382,11,"ZH","R","D","B.pascuorum","B","ZH_R"
"954","23_ZHRD_pB",1.28558314064619,6,"ZH","R","D","B.lapidarius","B","ZH_R"
"955","23_ZHRE_lB",0.441514299900768,5,"ZH","R","E","B.pascuorum","B","ZH_R"
"956","23_ZHRE_pB",1.28134977360226,7,"ZH","R","E","B.lapidarius","B","ZH_R"
"957","23_ZHRE_pL",0.736709072569487,5,"ZH","R","E","B.lapidarius","L","ZH_R"
"958","23_ZHRF_lB",0.558097701340259,4,"ZH","R","F","B.pascuorum","B","ZH_R"
"959","23_ZHRF_pB",0.0852813529347935,2,"ZH","R","F","B.lapidarius","B","ZH_R"
"960","23_ZHUA_lB",1.46466669998341,8,"ZH","U","A","B.pascuorum","B","ZH_U"
"961","23_ZHUA_pB",0.339505933557399,3,"ZH","U","A","B.lapidarius","B","ZH_U"
"962","23_ZHUA_pL",0,1,"ZH","U","A","B.lapidarius","L","ZH_U"
"963","23_ZHUB_lB",0.104156780146103,2,"ZH","U","B","B.pascuorum","B","ZH_U"
"964","23_ZHUB_lL",0.281614159365179,3,"ZH","U","B","B.pascuorum","L","ZH_U"
"965","23_ZHUB_pB",0.0995592726848765,2,"ZH","U","B","B.lapidarius","B","ZH_U"
"966","23_ZHUB_pL",0,1,"ZH","U","B","B.lapidarius","L","ZH_U"
"967","23_ZHUC_lB",0.817457351545768,5,"ZH","U","C","B.pascuorum","B","ZH_U"
"968","23_ZHUC_pB",0.706362119197279,5,"ZH","U","C","B.lapidarius","B","ZH_U"
"969","23_ZHUC_pL",0,1,"ZH","U","C","B.lapidarius","L","ZH_U"
"970","24_BERD_pB",0,1,"BE","R","D","B.lapidarius","B","BE_R"
"971","24_BEUA_pB",0.160670823899748,2,"BE","U","A","B.lapidarius","B","BE_U"
"972","24_BEUB_lB",0.581445916255584,6,"BE","U","B","B.pascuorum","B","BE_U"
"973","24_BEUB_lL",0.189910453419539,3,"BE","U","B","B.pascuorum","L","BE_U"
"974","24_BEUB_pB",0.0999052465699719,2,"BE","U","B","B.lapidarius","B","BE_U"
"975","24_BEUB_pL",0.553421720906619,2,"BE","U","B","B.lapidarius","L","BE_U"
"976","24_BSRD_lB",0.732451815701121,4,"BS","R","D","B.pascuorum","B","BS_R"
"977","24_BSRD_pB",0,1,"BS","R","D","B.lapidarius","B","BS_R"
"978","24_BSRE_lB",1.10961452774736,5,"BS","R","E","B.pascuorum","B","BS_R"
"979","24_BSRE_pB",0,1,"BS","R","E","B.lapidarius","B","BS_R"
"980","24_BSRF_lB",0.572639920400804,2,"BS","R","F","B.pascuorum","B","BS_R"
"981","24_BSRF_lL",0.559974191152805,3,"BS","R","F","B.pascuorum","L","BS_R"
"982","24_BSRF_pB",1.22486684526482,7,"BS","R","F","B.lapidarius","B","BS_R"
"983","24_BSUA_lB",0.627078496240937,4,"BS","U","A","B.pascuorum","B","BS_U"
"984","24_BSUA_pB",0.962990967231729,5,"BS","U","A","B.lapidarius","B","BS_U"
"985","24_BSUA_pL",0.562676703218801,3,"BS","U","A","B.lapidarius","L","BS_U"
"986","24_BSUB_lB",0.887536017742159,8,"BS","U","B","B.pascuorum","B","BS_U"
"987","24_BSUB_lL",0.070730038870749,2,"BS","U","B","B.pascuorum","L","BS_U"
"988","24_BSUB_pB",0.685480657616042,7,"BS","U","B","B.lapidarius","B","BS_U"
"989","24_BSUC_lB",1.01685335213213,9,"BS","U","C","B.pascuorum","B","BS_U"
"990","24_BSUC_pB",0.958381221682351,5,"BS","U","C","B.lapidarius","B","BS_U"
"991","24_ZHRD_lB",0.43692751765144,4,"ZH","R","D","B.pascuorum","B","ZH_R"
"992","24_ZHRD_pB",0.487427409580104,5,"ZH","R","D","B.lapidarius","B","ZH_R"
"993","24_ZHRD_pL",0.93507489020192,6,"ZH","R","D","B.lapidarius","L","ZH_R"
"994","24_ZHRE_lB",0.613666397684027,4,"ZH","R","E","B.pascuorum","B","ZH_R"
"995","24_ZHRE_pB",1.30375196369091,8,"ZH","R","E","B.lapidarius","B","ZH_R"
"996","24_ZHRE_pL",0.750730088104104,5,"ZH","R","E","B.lapidarius","L","ZH_R"
"997","24_ZHRF_lB",0.381883743196275,3,"ZH","R","F","B.pascuorum","B","ZH_R"
"998","24_ZHRF_pB",0.874062619787142,5,"ZH","R","F","B.lapidarius","B","ZH_R"
"999","24_ZHUA_lB",1.15480083037747,6,"ZH","U","A","B.pascuorum","B","ZH_U"
"1000","24_ZHUA_pB",0.481908592019567,2,"ZH","U","A","B.lapidarius","B","ZH_U"
"1001","24_ZHUA_pL",1.12154451769075,5,"ZH","U","A","B.lapidarius","L","ZH_U"
"1002","24_ZHUB_lB",1.15710399137673,7,"ZH","U","B","B.pascuorum","B","ZH_U"
"1003","24_ZHUB_pB",0.552183142970004,2,"ZH","U","B","B.lapidarius","B","ZH_U"
"1004","24_ZHUC_lB",1.12498367273908,4,"ZH","U","C","B.pascuorum","B","ZH_U"
