"","sp_richn","fdis","fmpd","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"27_BEUA_p",5,0.169058444122859,0.165166154563945,0.0015561275169341,0.309304211491532,-0.133922090629735,0.0525185400242434,-0.0177550114120799,-0.00695180040833577
"27_BEUB_p",5,0.495467192878716,0.462921282982335,0.0136710487440473,0.390500975934865,-0.0227974260445218,0.0900066483580198,-0.0416274025528363,0.0102017552892752
"27_BSRD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"27_BSRE_p",2,0.153630107267541,0.196542836276684,0.000899122131946477,0.345138454862058,-0.144584277985764,0.0763659690273711,-0.0222236883957334,-0.00329465343254617
"27_BSRF_p",6,0.204650636030104,0.190075464091596,0.0329157155219045,0.340150237538604,-0.143160401930645,0.0497769337687165,-0.0226745133418049,-0.00568792723634177
"27_BSUA_p",3,0.147461819775752,0.158151724971202,0.00338382154606263,0.322915049069162,-0.134355038765875,0.0794621827735179,-0.00706062631468658,0.00104079179597277
"27_BSUB_p",4,0.318362033168635,0.319483960423438,0.00234312230160109,0.304645083468913,-0.0983200391025416,0.0518862825497127,0.0027379369284977,-0.00204662812493909
"27_BSUC_p",2,0.0475868198760424,0.0608790081200518,0.047719592151435,0.403626817202582,-0.148151977502828,0.131512233342781,0.00124282204418613,-0.00192438403310266
"27_ZHRD_p",4,0.167726497189808,0.166662333915781,0.00128557502325898,0.33520741881305,-0.142708502865061,0.0605010819174116,-0.0215235663954603,-0.0107424475355086
"27_ZHRE_p",3,0.520467316579896,0.576952979003442,0.0938118588369422,0.354315179754584,0.014203621144787,0.0274876918084642,0.0197102258721758,0.0113170541028171
"27_ZHRF_p",2,0.477897781492232,0.611386577119596,0.05152737765086,0.323114053131361,-0.0222876045585145,0.0458431341806083,-0.0117870646487918,-0.00553909317160928
"27_ZHUA_p",6,0.288320725964242,0.274870578419921,0.0191379028593373,0.316743347069128,-0.0964959189226595,0.0602121276295704,-0.013940829858417,-0.00206872849838946
"27_ZHUB_p",8,0.370938376432784,0.332780479942516,0.0345959641775235,0.293191478131566,-0.056561090597771,0.0687969531884811,0.00162340943808365,0.00654227801760257
"27_ZHUC_p",4,0.308828128250936,0.30950997584907,0.0151476804049773,0.307163638107128,-0.0973512976791371,0.0559466776734263,-0.0094901930947743,-0.0264261721753393
"28_BERD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"28_BEUB_p",9,0.451902964272525,0.394994328084943,0.0550904383164475,0.319106646014581,-0.032545981165573,0.0484185005354513,-0.0122000934376215,0.0104326310894636
"28_BSRD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"28_BSRE_p",3,0.119398148779516,0.131428926553985,0.0017141000310119,0.350403539643082,-0.145436336100662,0.0838562558155333,-0.0190024993980118,-0.00231866325270028
"28_BSRF_p",6,0.24447540259259,0.212644381471439,0.0174288192372979,0.339721308473173,-0.142541623632706,0.0358498259678081,-0.018779317583786,-0.00860992605729517
"28_BSUA_p",4,0.167726497189808,0.166662333915781,0.00128557502325898,0.33520741881305,-0.142708502865061,0.0605010819174116,-0.0215235663954603,-0.0107424475355086
"28_BSUB_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"28_BSUC_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
